kabupaten_kota,provinsi,latitude,longitude,sewa_aktual,sewa_prediksi,residual,coef_rumah_layak_huni,coef_ketahanan_bangunan,coef_luas_lantai_7_2,coef_akses_air_minum,coef_akses_sanitasi,coef_cuci_tangan,coef_status_milik_sendiri,coef_status_kontrak_sewa,coef_listrik_pln,coef_latitude,coef_longitude
Asahan,Sumatera Utara,2.802539175504701,99.56285616535487,9789.0,11044.980088911638,-1255.9800889116377,-8667.489275497333,6969.02905630346,798.6555045709683,4350.4851201842175,3541.1012111430596,193.46031422660144,1625.983576646565,8160.550685779669,-781.6709025129828,-305.83317436332754,216.0441907125769
Simalungun,Sumatera Utara,2.9770245290582444,99.0332350727967,9789.0,10877.195119028409,-1088.195119028409,-8667.489275497333,6969.02905630346,798.6555045709683,4350.4851201842175,3541.1012111430596,193.46031422660144,1625.983576646565,8160.550685779669,-781.6709025129828,-305.83317436332754,216.0441907125769
Dairi,Sumatera Utara,2.843626106152995,98.26728807093224,9789.0,10752.514382014055,-963.5143820140547,-8667.489275497333,6969.02905630346,798.6555045709683,4350.4851201842175,3541.1012111430596,193.46031422660144,1625.983576646565,8160.550685779669,-781.6709025129828,-305.83317436332754,216.0441907125769
Karo,Sumatera Utara,3.120679894629059,98.29603250779104,9789.0,10673.99221101368,-884.9922110136795,-8667.489275497333,6969.02905630346,798.6555045709683,4350.4851201842175,3541.1012111430596,193.46031422660144,1625.983576646565,8160.550685779669,-781.6709025129828,-305.83317436332754,216.0441907125769
Deli Serdang,Sumatera Utara,3.480872887902481,98.694353947794,9789.0,10649.888277646347,-860.888277646347,-8667.489275497333,6969.02905630346,798.6555045709683,4350.4851201842175,3541.1012111430596,193.46031422660144,1625.983576646565,8160.550685779669,-781.6709025129828,-305.83317436332754,216.0441907125769
Langkat,Sumatera Utara,3.7107408658278698,98.22034601408176,9789.0,10477.180363842745,-688.1803638427446,-8667.489275497333,6969.02905630346,798.6555045709683,4350.4851201842175,3541.1012111430596,193.46031422660144,1625.983576646565,8160.550685779669,-781.6709025129828,-305.83317436332754,216.0441907125769
Nias Selatan,Sumatera Utara,0.3204254942983459,98.10360671246238,9789.0,11488.830428067693,-1699.830428067693,-8667.489275497333,6969.02905630346,798.6555045709683,4350.4851201842175,3541.1012111430596,193.46031422660144,1625.983576646565,8160.550685779669,-781.6709025129828,-305.83317436332754,216.0441907125769
Humbang Hasundutan,Sumatera Utara,2.270726316564301,98.57243150109733,9789.0,10993.650608677319,-1204.6506086773188,-8667.489275497333,6969.02905630346,798.6555045709683,4350.4851201842175,3541.1012111430596,193.46031422660144,1625.983576646565,8160.550685779669,-781.6709025129828,-305.83317436332754,216.0441907125769
Pakpak Bharat,Sumatera Utara,2.5541773388086084,98.24060477639514,9789.0,10835.272646572725,-1046.2726465727246,-8667.489275497333,6969.02905630346,798.6555045709683,4350.4851201842175,3541.1012111430596,193.46031422660144,1625.983576646565,8160.550685779669,-781.6709025129828,-305.83317436332754,216.0441907125769
Samosir,Sumatera Utara,2.5587223588770813,98.72129063005322,9789.0,10937.732014898185,-1148.7320148981853,-8667.489275497333,6969.02905630346,798.6555045709683,4350.4851201842175,3541.1012111430596,193.46031422660144,1625.983576646565,8160.550685779669,-781.6709025129828,-305.83317436332754,216.0441907125769
Serdang Bedagai,Sumatera Utara,3.36716790342862,99.05853860444029,9789.0,10763.343013404006,-974.3430134040063,-8667.489275497333,6969.02905630346,798.6555045709683,4350.4851201842175,3541.1012111430596,193.46031422660144,1625.983576646565,8160.550685779669,-781.6709025129828,-305.83317436332754,216.0441907125769
Batu Bara,Sumatera Utara,3.234237937973284,99.47562412048092,9789.0,10894.106309478157,-1105.1063094781566,-8667.489275497333,6969.02905630346,798.6555045709683,4350.4851201842175,3541.1012111430596,193.46031422660144,1625.983576646565,8160.550685779669,-781.6709025129828,-305.83317436332754,216.0441907125769
Padang Lawas Utara,Sumatera Utara,1.5932560770033484,99.75745203915962,9789.0,11456.86028570238,-1667.8602857023798,-8667.489275497333,6969.02905630346,798.6555045709683,4350.4851201842175,3541.1012111430596,193.46031422660144,1625.983576646565,8160.550685779669,-781.6709025129828,-305.83317436332754,216.0441907125769
Padang Lawas,Sumatera Utara,1.1404033531003548,99.84412105997292,9789.0,11614.082010234175,-1825.082010234175,-8667.489275497333,6969.02905630346,798.6555045709683,4350.4851201842175,3541.1012111430596,193.46031422660144,1625.983576646565,8160.550685779669,-781.6709025129828,-305.83317436332754,216.0441907125769
Labuhan Batu Selatan,Sumatera Utara,1.838873671687856,100.13053630729472,9789.0,11462.344965817374,-1673.344965817374,-8667.489275497333,6969.02905630346,798.6555045709683,4350.4851201842175,3541.1012111430596,193.46031422660144,1625.983576646565,8160.550685779669,-781.6709025129828,-305.83317436332754,216.0441907125769
Labuhan Batu Utara,Sumatera Utara,2.4091045540976297,99.754625283727,9789.0,11206.73605206337,-1417.7360520633702,-8667.489275497333,6969.02905630346,798.6555045709683,4350.4851201842175,3541.1012111430596,193.46031422660144,1625.983576646565,8160.550685779669,-781.6709025129828,-305.83317436332754,216.0441907125769
Nias Utara,Sumatera Utara,1.3127819954952034,97.35547737413172,9789.0,11023.705891758593,-1234.7058917585928,-8667.489275497333,6969.02905630346,798.6555045709683,4350.4851201842175,3541.1012111430596,193.46031422660144,1625.983576646565,8160.550685779669,-781.6709025129828,-305.83317436332754,216.0441907125769
Nias Barat,Sumatera Utara,1.025366735231171,97.48965275268225,9789.0,11140.594824238102,-1351.5948242381019,-8667.489275497333,6969.02905630346,798.6555045709683,4350.4851201842175,3541.1012111430596,193.46031422660144,1625.983576646565,8160.550685779669,-781.6709025129828,-305.83317436332754,216.0441907125769
Kota Sibolga,Sumatera Utara,1.7383641877390714,98.78590566364493,9789.0,11202.584461132403,-1413.5844611324028,-8667.489275497333,6969.02905630346,798.6555045709683,4350.4851201842175,3541.1012111430596,193.46031422660144,1625.983576646565,8160.550685779669,-781.6709025129828,-305.83317436332754,216.0441907125769
Kota Tanjung Balai,Sumatera Utara,2.964415419755293,99.79498810042983,9789.0,11045.623719330284,-1256.623719330284,-8667.489275497333,6969.02905630346,798.6555045709683,4350.4851201842175,3541.1012111430596,193.46031422660144,1625.983576646565,8160.550685779669,-781.6709025129828,-305.83317436332754,216.0441907125769
Kota Pematang Siantar,Sumatera Utara,2.962598427932324,99.05897455208054,9789.0,10887.167964300676,-1098.1679643006755,-8667.489275497333,6969.02905630346,798.6555045709683,4350.4851201842175,3541.1012111430596,193.46031422660144,1625.983576646565,8160.550685779669,-781.6709025129828,-305.83317436332754,216.0441907125769
Kota Tebing Tinggi,Sumatera Utara,3.3283604417706654,99.15570794468296,9789.0,10796.204494066646,-1007.2044940666456,-8667.489275497333,6969.02905630346,798.6555045709683,4350.4851201842175,3541.1012111430596,193.46031422660144,1625.983576646565,8160.550685779669,-781.6709025129828,-305.83317436332754,216.0441907125769
