id,OBJECTID,Shape_Leng,Shape_Area,A1C_BPS,A1N_BPS,A2C_BPS,A2N_BPS,A1C_SIAK,A1N_SIAK,A2C_SIAK,A2N_SIAK,YEAR,Type,Hectares,A2TEXT,SquareKM,latitude,longitude
,67,0.818522714794,0.0140537330878,13,Sumatera Barat,1310,Solok Selatan,13,Sumatera Barat,1311,Solok Selatan,2017,Kabupaten,361248.37243,1310,3636.81521,-1.4063567118251674,101.25257872639939
,68,0.216485101668,0.00174084314334,13,Sumatera Barat,1311,Dharmasraya,13,Sumatera Barat,1310,Dharmasraya,2017,Kabupaten,301822.04887,1311,3038.55362,-1.130987455355893,101.5541938465957
,69,1.28431179023,0.0358383005649,13,Sumatera Barat,1312,Pasaman Barat,13,Sumatera Barat,1312,Pasaman Barat,2017,Kabupaten,373769.64021,1312,3762.88605,0.20695273542436948,99.67811627716715
,70,0.347500462604,0.00141194627238,13,Sumatera Barat,1371,Kota Padang,13,Sumatera Barat,1371,Kota Padang,2017,Kota,68625.17396,1371,690.87559,-0.8957171035216385,100.43535432369038
,71,0.275192899971,0.0022072552165,13,Sumatera Barat,1372,Kota Solok,13,Sumatera Barat,1372,Kota Solok,2017,Kota,6087.85916,1372,61.28881,-0.7823512936590555,100.63036480526782
,72,0.111376948032,0.000609361988395,13,Sumatera Barat,1373,Kota Sawah Lunto,13,Sumatera Barat,1373,Kota Sawahlunto,2017,Kota,23861.81723,1373,240.22613,-0.6537714054955911,100.75703095387857
,73,0.0733493178884,0.000182095415,13,Sumatera Barat,1374,Kota Padang Panjang,13,Sumatera Barat,1374,Kota Padang Panjang,2017,Kota,2109.34569,1374,21.23561,-0.4711941006286114,100.40371610312086
,74,0.0303364654826,4.28245619349e-05,13,Sumatera Barat,1375,Kota Bukittinggi,13,Sumatera Barat,1375,Kota Bukittinggi,2017,Kota,2383.23116,1375,23.99292,-0.3000989630927661,100.37204264352982
,75,0.0475620148357,8.61772383e-05,13,Sumatera Barat,1376,Kota Payakumbuh,13,Sumatera Barat,1376,Kota Payakumbuh,2017,Kota,7526.2361,1376,75.76958,-0.22607145510029256,100.63098061893533
,76,0.0283353422065,2.51040167799e-05,13,Sumatera Barat,1377,Kota Pariaman,13,Sumatera Barat,1377,Kota Pariaman,2017,Kota,6471.4397,1377,65.15049,-0.6076520943095929,100.1372124357522
,77,0.469715483716,0.00873242117341,13,Sumatera Barat,1388,Danau,13,Sumatera Barat,1388,Danau,2017,,10749.4239,1388,108.21861,-0.6117948654134421,100.54072518896389
,78,0.404246219386,0.00927601196798,14,Riau,1401,Kuantan Singingi,14,Riau,1409,Kuantan Singingi,2017,Kabupaten,528413.08962,1401,5319.74034,-0.4788216508983854,101.50347823681554
,79,0.892842976814,0.0218033839562,14,Riau,1402,Indragiri Hulu,14,Riau,1402,Indragiri Hulu,2017,Kabupaten,800466.68897,1402,8058.6085,-0.5331907022290001,102.32757382107948
,80,0.246320177605,0.00237807220018,14,Riau,1403,Indragiri Hilir,14,Riau,1404,Indragiri Hilir,2017,Kabupaten,1343499.41284,1403,13525.53378,-0.23330740205857814,103.15731455476802
,81,1.22279886696,0.0611473655826,14,Riau,1404,Pelalawan,14,Riau,1405,Pelalawan,2017,Kabupaten,1306723.72622,1404,13155.30074,0.21942412511088275,102.26762391310828
,82,0.520860352184,0.0132936877795,14,Riau,1405,Siak,14,Riau,1408,Siak,2017,Kabupaten,782296.88792,1405,7875.68032,0.826470805914191,101.8248951341538
,83,0.343056277756,0.00578355191062,14,Riau,1406,Kampar,14,Riau,1401,Kampar,2017,Kabupaten,1073398.94867,1406,10806.32646,0.3271751397974591,101.07087982360066
,84,0.475072919105,0.00967069973894,14,Riau,1407,Rokan Hulu,14,Riau,1406,Rokan Hulu,2017,Kabupaten,724324.14046,1407,7292.04294,0.9400854045461754,100.47480623817367
