Kabupaten-Kota,Jan,Feb,Mar,Apr,Mei,Jun,Jul,Ags,Sep,Okt,Nov,Des,Rata-Rata
Kab. Berau,839429.0,839429.0,839429.0,839429.0,839429.0,839429.0,839429.0,839429.0,839429.0,839429.0,844633.0,844633.0,840296.0
Kab. Penajam Paser Utara,601011.0,601011.0,601011.0,601011.0,605819.0,605819.0,605819.0,605819.0,605819.0,605819.0,605819.0,605819.0,604217.0
Kota Balikpapan,694182.0,694182.0,694182.0,694182.0,694182.0,697653.0,697653.0,697653.0,697653.0,697653.0,697653.0,697653.0,696207.0
Kota Samarinda,825948.0,825948.0,825948.0,825948.0,828426.0,828426.0,828426.0,828426.0,829338.0,829338.0,829338.0,829338.0,827904.0
Tanjung Selor,946996.0,946996.0,946996.0,946996.0,946996.0,946996.0,946996.0,946996.0,946996.0,946996.0,946996.0,946996.0,946996.0
Kab. Nunukan,459885.0,459885.0,459885.0,459885.0,459885.0,459885.0,459885.0,468117.0,468117.0,468117.0,468117.0,468117.0,463315.0
Kota Tarakan,565047.0,565047.0,565047.0,565047.0,565047.0,565047.0,565047.0,565047.0,565047.0,565047.0,565047.0,565047.0,565047.0
Kab. Minahasa Selatan,383352.0,383352.0,383352.0,383352.0,383352.0,383352.0,383352.0,383352.0,383352.0,383352.0,383352.0,383352.0,383352.0
Kab. Minahasa Utara,632309.0,632309.0,632309.0,632309.0,632309.0,632309.0,632309.0,632309.0,632309.0,632309.0,632309.0,632309.0,632309.0
Kota Manado,662860.0,662860.0,662860.0,662860.0,662860.0,662860.0,662860.0,662860.0,664119.0,664119.0,664119.0,664119.0,663280.0
Kota Kotamobagu,740060.0,740060.0,740060.0,740060.0,740060.0,751235.0,751235.0,751235.0,761452.0,765716.0,765716.0,765716.0,751050.0
Luwuk,612958.0,612958.0,614368.0,618423.0,618423.0,629369.0,629369.0,629369.0,629369.0,631635.0,631635.0,631635.0,624126.0
Kab. Morowali,882270.0,882270.0,882270.0,882270.0,882270.0,882270.0,882270.0,882270.0,882270.0,882270.0,882270.0,882270.0,882270.0
Kab. Toli Toli,447383.0,447383.0,447383.0,447383.0,447383.0,447383.0,447383.0,447383.0,452528.0,452528.0,452528.0,452528.0,449098.0
Kota Palu,595620.0,595620.0,595620.0,595620.0,595620.0,595620.0,597883.0,600155.0,600155.0,602135.0,602135.0,602135.0,598193.0
Bulukumba,545159.0,545159.0,545159.0,545159.0,545159.0,545159.0,545159.0,545159.0,564622.0,564622.0,564622.0,564622.0,551647.0
Watampone,529705.0,529705.0,529705.0,529705.0,529705.0,529705.0,529705.0,529705.0,529705.0,529705.0,529705.0,529705.0,529705.0
Kab. Wajo,418146.0,418773.0,418773.0,419360.0,419360.0,419360.0,419360.0,419360.0,419360.0,419360.0,419360.0,419360.0,419161.0
Kab. Sidenreng Rappang,528362.0,528362.0,528362.0,528362.0,528362.0,528362.0,528362.0,528362.0,528362.0,528362.0,528362.0,528362.0,528362.0
Kab. Luwu Timur,531985.0,531985.0,531985.0,531985.0,531985.0,531985.0,531985.0,531985.0,531985.0,531985.0,531985.0,531985.0,531985.0
Kota Makassar,525317.0,525317.0,525317.0,525317.0,525317.0,525317.0,525317.0,525317.0,527261.0,527261.0,527261.0,527261.0,525965.0
Kota Pare Pare,348515.0,348515.0,348515.0,348515.0,348515.0,348515.0,348515.0,348515.0,348515.0,348515.0,348515.0,348515.0,348515.0
Kota Palopo,480081.0,480081.0,480081.0,480081.0,480081.0,480081.0,480081.0,480081.0,488722.0,488722.0,488722.0,488722.0,482961.0
Kab. Konawe,459481.0,460354.0,460354.0,460354.0,460354.0,460354.0,460354.0,460354.0,462471.0,462471.0,462471.0,464414.0,461149.0
Kab. Kolaka,628250.0,628250.0,628250.0,628250.0,628250.0,628250.0,628250.0,628250.0,628250.0,628250.0,628250.0,628250.0,628250.0
Kota Kendari,556467.0,557580.0,559029.0,559029.0,559029.0,559029.0,559029.0,559029.0,559029.0,559029.0,559029.0,559029.0,558695.0
Kota Bau Bau,404435.0,404435.0,404435.0,404435.0,404435.0,404435.0,404435.0,404435.0,404435.0,404435.0,404435.0,404435.0,404435.0
Kab. Gorontalo,568837.0,568837.0,568837.0,568837.0,568837.0,568837.0,568837.0,568837.0,568837.0,568837.0,568837.0,568837.0,568837.0
Kota Gorontalo,630310.0,630310.0,630310.0,630310.0,631633.0,631633.0,631633.0,631633.0,633718.0,633718.0,633718.0,633718.0,631887.0
Kab. Majene,420136.0,420136.0,427783.0,427783.0,427783.0,427783.0,427783.0,427783.0,433515.0,433515.0,433515.0,433515.0,428419.0
Mamuju,526297.0,526297.0,526297.0,526297.0,526297.0,526297.0,526297.0,526297.0,531454.0,532996.0,532996.0,532996.0,528401.0
Kab. Maluku Tengah,392330.0,392330.0,392330.0,392330.0,392330.0,392330.0,392330.0,392330.0,392330.0,392330.0,392330.0,392330.0,392330.0
Kota Ambon,685940.0,685940.0,685940.0,685940.0,685940.0,690810.0,690810.0,690810.0,690810.0,690810.0,690810.0,690810.0,688781.0
Kota Tual,456439.0,456439.0,458585.0,458585.0,458585.0,458585.0,458585.0,458585.0,458585.0,462437.0,464425.0,469395.0,459936.0
Kab. Halmahera Tengah,1121154.0,1121154.0,1121154.0,1121154.0,1121154.0,1121154.0,1121154.0,1121154.0,1121154.0,1121154.0,1121154.0,1121154.0,1121154.0
