kabupaten_kota,provinsi,latitude,longitude,sewa_2024,rumah_layak_huni,ketahanan_bangunan,luas_lantai_7_2,akses_air_minum,akses_sanitasi,cuci_tangan,status_milik_sendiri,status_kontrak_sewa,listrik_pln,latitude,longitude
Padang Pariaman,Sumatera Barat,-0.5623419077902755,100.22770237006068,8221.0,62.29,97.68,95.46,86.85,72.82,86.83,72.63,7.14,98.95,-0.5623419077902755,100.22770237006068
Agam,Sumatera Barat,-0.2494297465965396,100.16851369839492,8221.0,62.29,97.68,95.46,86.85,72.82,86.83,72.63,7.14,98.95,-0.2494297465965396,100.16851369839492
Lima Puluh Kota,Sumatera Barat,0.0297824276785084,100.56592288409354,8221.0,62.29,97.68,95.46,86.85,72.82,86.83,72.63,7.14,98.95,0.0297824276785084,100.56592288409354
Pasaman,Sumatera Barat,0.3872921033224694,100.08276000441212,8221.0,62.29,97.68,95.46,86.85,72.82,86.83,72.63,7.14,98.95,0.3872921033224694,100.08276000441212
Solok Selatan,Sumatera Barat,-1.4063567118251674,101.2525787263994,8221.0,62.29,97.68,95.46,86.85,72.82,86.83,72.63,7.14,98.95,-1.4063567118251674,101.2525787263994
Dharmasraya,Sumatera Barat,-1.130987455355893,101.5541938465957,8221.0,62.29,97.68,95.46,86.85,72.82,86.83,72.63,7.14,98.95,-1.130987455355893,101.5541938465957
Pasaman Barat,Sumatera Barat,0.2069527354243694,99.67811627716716,8221.0,62.29,97.68,95.46,86.85,72.82,86.83,72.63,7.14,98.95,0.2069527354243694,99.67811627716716
Kota Padang,Sumatera Barat,-0.8957171035216385,100.43535432369038,8221.0,62.29,97.68,95.46,86.85,72.82,86.83,72.63,7.14,98.95,-0.8957171035216385,100.43535432369038
Kota Solok,Sumatera Barat,-0.7823512936590555,100.63036480526782,8221.0,62.29,97.68,95.46,86.85,72.82,86.83,72.63,7.14,98.95,-0.7823512936590555,100.63036480526782
Kota Sawah Lunto,Sumatera Barat,-0.6537714054955911,100.75703095387856,8221.0,62.29,97.68,95.46,86.85,72.82,86.83,72.63,7.14,98.95,-0.6537714054955911,100.75703095387856
Kota Padang Panjang,Sumatera Barat,-0.4711941006286114,100.40371610312086,8221.0,62.29,97.68,95.46,86.85,72.82,86.83,72.63,7.14,98.95,-0.4711941006286114,100.40371610312086
Kota Bukittinggi,Sumatera Barat,-0.3000989630927661,100.37204264352982,8221.0,62.29,97.68,95.46,86.85,72.82,86.83,72.63,7.14,98.95,-0.3000989630927661,100.37204264352982
Kota Payakumbuh,Sumatera Barat,-0.2260714551002925,100.63098061893533,8221.0,62.29,97.68,95.46,86.85,72.82,86.83,72.63,7.14,98.95,-0.2260714551002925,100.63098061893533
Kota Pariaman,Sumatera Barat,-0.6076520943095929,100.1372124357522,8221.0,62.29,97.68,95.46,86.85,72.82,86.83,72.63,7.14,98.95,-0.6076520943095929,100.1372124357522
Danau,Sumatera Barat,-0.6117948654134421,100.54072518896388,8221.0,62.29,97.68,95.46,86.85,72.82,86.83,72.63,7.14,98.95,-0.6117948654134421,100.54072518896388
Kuantan Singingi,Riau,-0.4788216508983854,101.50347823681554,10548.0,74.8,96.31,94.63,92.24,86.32,75.19,78.46,7.98,96.6,-0.4788216508983854,101.50347823681554
Indragiri Hulu,Riau,-0.5331907022290001,102.32757382107948,10548.0,74.8,96.31,94.63,92.24,86.32,75.19,78.46,7.98,96.6,-0.5331907022290001,102.32757382107948
Indragiri Hilir,Riau,-0.2333074020585781,103.15731455476802,10548.0,74.8,96.31,94.63,92.24,86.32,75.19,78.46,7.98,96.6,-0.2333074020585781,103.15731455476802
Pelalawan,Riau,0.2194241251108827,102.26762391310828,10548.0,74.8,96.31,94.63,92.24,86.32,75.19,78.46,7.98,96.6,0.2194241251108827,102.26762391310828
Siak,Riau,0.826470805914191,101.8248951341538,10548.0,74.8,96.31,94.63,92.24,86.32,75.19,78.46,7.98,96.6,0.826470805914191,101.8248951341538
Kampar,Riau,0.3271751397974591,101.07087982360066,10548.0,74.8,96.31,94.63,92.24,86.32,75.19,78.46,7.98,96.6,0.3271751397974591,101.07087982360066
