provinsi,kabupaten_kota,latitude,longitude,prediksi_sewa,rumah_layak_huni,ketahanan_bangunan,luas_lantai_7_2,akses_air_minum,akses_sanitasi,cuci_tangan,status_milik_sendiri,status_kontrak_sewa,listrik_pln
Lampung,Way Kanan,-4.516452442654987,104.61449008455077,-24343.80318137281,65.96,89.45,98.51,84.51,85.44,80.97,93.05,1.98,99.21
Lampung,Tulangbawang,-4.372762118777207,105.53193814337916,-24337.112600124758,65.96,89.45,98.51,84.51,85.44,80.97,93.05,1.98,99.21
Lampung,Pesawaran,-5.473490391664825,105.11021856268846,-24258.275797068338,65.96,89.45,98.51,84.51,85.44,80.97,93.05,1.98,99.21
Lampung,Pringsewu,-5.330844690947773,104.9200156480894,-24273.31401888423,65.96,89.45,98.51,84.51,85.44,80.97,93.05,1.98,99.21
Lampung,Mesuji,-4.023735185270912,105.37787514073209,-24367.77771448119,65.96,89.45,98.51,84.51,85.44,80.97,93.05,1.98,99.21
Lampung,Tulang Bawang Barat,-4.424818622660224,105.09205814161643,-24341.653425611676,65.96,89.45,98.51,84.51,85.44,80.97,93.05,1.98,99.21
Lampung,Pesisir Barat,-5.382741983641269,104.20537179345924,-24283.27800900594,65.96,89.45,98.51,84.51,85.44,80.97,93.05,1.98,99.21
Lampung,Kota Bandar Lampung,-5.415381895517418,105.2669385988425,-24259.78998253277,65.96,89.45,98.51,84.51,85.44,80.97,93.05,1.98,99.21
Lampung,Kota Metro,-5.121824223284681,105.30644367746756,-24282.25209164909,65.96,89.45,98.51,84.51,85.44,80.97,93.05,1.98,99.21
Lampung,Danau,-4.919405157341443,103.90269316395177,-24325.919165756743,65.96,89.45,98.51,84.51,85.44,80.97,93.05,1.98,99.21
Kepulauan Bangka Belitung,Bangka,-1.9058874632590403,105.92123214732396,-16904.519165847494,,,,,,,,,
Kepulauan Bangka Belitung,Belitung,-2.869945793123589,107.71103164508766,-16792.95357478544,,,,,,,,,
Kepulauan Bangka Belitung,Bangka Barat,-1.8908612719881248,105.4894532118837,-16914.211192081253,,,,,,,,,
Kepulauan Bangka Belitung,Bangka Tengah,-2.430082747186666,106.24331548128409,-16856.677926814198,,,,,,,,,
Kepulauan Bangka Belitung,Bangka Selatan,-2.7709329136881147,106.3422715564158,-16827.745288865728,,,,,,,,,
Kepulauan Bangka Belitung,Belitung Timur,-2.9071138854292737,108.05237566338394,-16783.289459404503,,,,,,,,,
Kepulauan Bangka Belitung,Kota Pangkal Pinang,-2.1106627011939825,106.11347204257817,-16884.52223397357,,,,,,,,,
Kepulauan Riau,Karimun,0.8248069234958793,103.5309181577354,-17167.768868904357,,,,,,,,,
Kepulauan Riau,Bintan,1.0118816098152748,104.70326477772744,-17159.493510564123,,,,,,,,,
Kepulauan Riau,Natuna,3.78591633308192,108.26479827469396,-17308.97248653578,,,,,,,,,
